id,title,author,description
1,Hobbit,"J.R.R. Tolkien","Fantasy novel about Bilbo Baggins"
3,Dziady,"Adam Mickiewicz","Polish dramatic poem about spirits and the afterlife"
4,"To Kill a Mockingbird","Harper Lee","A novel about racial injustice in America"
5,A,A,A
6,"Crime and Punishment","Fyodor Dostoevsky","Psychological novel about morality"
7,"Brave New World","Aldous Huxley","Future dystopia controlled by technology and conditioning"
8,"The Catcher in the Rye","J.D. Salinger","Story of teenage rebellion and alienation"
9,"War and Peace","Leo Tolstoy","Historical novel about Napoleonic wars"
10,Moby-Dick,"Herman Melville","Adventure novel about a whaling voyage"
11,"The Brothers Karamazov","Fyodor Dostoevsky","Philosophical novel about faith and morality"
12,"Don Quixote","Miguel de Cervantes","Classic Spanish novel about a knight-errant"
13,"One Hundred Years of Solitude","Gabriel Garcia Marquez","Magical realism about a family in Macondo"
14,"The Divine Comedy","Dante Alighieri","An epic poem about the journey through Hell, Purgatory, and Heaven"
15,"The Odyssey",Homer,"Ancient Greek epic poem about Odysseus' journey home"
16,"The Iliad",Homer,"Ancient Greek epic poem about the Trojan War"
17,Frankenstein,"Mary Shelley","Gothic novel about a scientist creating life"
18,Dracula,"Bram Stoker","Classic vampire novel"
19,"Jane Eyre","Charlotte Bronte","A novel about an orphan's struggle for independence"
20,"Wuthering Heights","Emily Bronte","Tragic love story on the Yorkshire moors"
21,"Les Misérables","Victor Hugo","French novel about justice, redemption, and revolution"
22,"The Count of Monte Cristo","Alexandre Dumas","A revenge novel about an unjustly imprisoned man"
23,"The Picture of Dorian Gray","Oscar Wilde","A philosophical novel about beauty and morality"
24,"The Stranger","Albert Camus","Existentialist novel about a detached man"
25,"The Trial","Franz Kafka","A surreal novel about a man accused of an unknown crime"
26,"The Metamorphosis","Franz Kafka","A novella about a man who turns into a giant insect"
27,"Anna Karenina","Leo Tolstoy","A tragic romance about a woman in Russian high society"
28,"The Old Man and the Sea","Ernest Hemingway","Story of a fisherman battling a giant marlin"
29,"The Sun Also Rises","Ernest Hemingway","Novel about the Lost Generation in post-WWI Europe"
30,"For Whom the Bell Tolls","Ernest Hemingway","Novel set during the Spanish Civil War"
31,"Fahrenheit 451","Ray Bradbury","Dystopian novel about book burning"
32,Slaughterhouse-Five,"Kurt Vonnegut","Anti-war novel with time travel elements"
33,Catch-22,"Joseph Heller","Satirical novel about the absurdity of war"
34,"Blood Meridian","Cormac McCarthy","Western novel about violence and morality"
35,"The Road","Cormac McCarthy","Post-apocalyptic novel about a father and son"
36,"East of Eden","John Steinbeck","Multi-generational family saga in California"
37,"Of Mice and Men","John Steinbeck","Tragic story of two displaced farm workers"
38,"The Grapes of Wrath","John Steinbeck","Novel about the Great Depression and Dust Bowl migration"
39,"The Lord of the Rings","J.R.R. Tolkien","High fantasy epic about the battle against Sauron"
40,"The Silmarillion","J.R.R. Tolkien","Mythopoeic history of Middle-earth"
41,"The Alchemist","Paulo Coelho","Philosophical novel about following one's destiny"
42,"The Little Prince","Antoine de Saint-Exupéry","Philosophical children's book about love and loss"
43,"Life of Pi","Yann Martel","Survival novel about a boy stranded at sea with a tiger"
44,"Cloud Atlas","David Mitchell","Interconnected stories spanning centuries"
45,"The Shadow of the Wind","Carlos Ruiz Zafón","Mystery novel set in post-war Barcelona"
46,Shogun,"James Clavell","Historical novel set in feudal Japan"
47,"The Name of the Wind","Patrick Rothfuss","Fantasy novel about a gifted young magician"
48,"A Game of Thrones","George R.R. Martin","First book in the epic fantasy series 'A Song of Ice and Fire'"
49,Dune,"Frank Herbert","Classic sci-fi novel about politics, religion, and ecology"
50,Neuromancer,"William Gibson","Influential cyberpunk novel"
51,a,a,a
52,"Tom and Jerry","Do jo",aa
